code,year,happiness,food_insec,precipitation,indiv_free,gini,hdi,gdp_pc,family,corruption,air_deaths,life_expectancy,temperature,urbanization,covid,hri,suicides,taxes,schooling
SDN,2015,4.139,33.894,16.283182,4.89,12.0,,64.6587,27.634758,,0.126,0.342,6.0234895,0.508,4718.9189453125,13.4,250.0,0.208,4.42
SDN,2014,4.55,33.689,16.44932,4.99,11.0,,64.2691,27.498863,,0.12,0.34243196,5.650102,0.504,4776.6201171875,14.4,250.0,0.204,4.42
SDN,2011,4.424363,33.207,16.850676,5.28,13.25,,63.2463,26.984283,,0.103,0.342,5.465129,0.487,5047.333984375,14.4,250.0,0.193,4.42
SUR,2015,6.269,66.056,8.127274,25.9135,36.0,,70.8003,26.23765,,0.853,,16.477304,0.744,18768.5718655697,,2331.0,0.881,
SUR,2014,6.269,66.089,8.021339,25.9423,36.0,,69.7824,26.094582,,0.853,,16.513662,0.736,19628.9899967694,,2331.0,0.881,
SWE,2022,7.3952,87.05,0.966,12.43,86.6,90.74711,82.438,4.5006466,0.1649899490553846,0.989,0.29,43.374,0.938,55359.3426541443,1.129,624.0,0.966,11.653
SWE,2021,7.3843,88.238,0.966,12.43,86.6,90.117,82.9833,3.6912773,0.075395486225,0.988,0.29,42.976173,0.947,54160.3674431983,1.4,624.0,0.966,11.653
SWE,2020,7.3627,87.977,0.966,12.43,86.6,90.117,82.4274,5.4424205,0.22997351729056603,0.988,0.28871885,42.8124,0.942,51331.2822226344,1.3,624.0,0.966,11.580874
SWE,2019,7.3535,87.708,0.81253004,12.3731,86.6,90.117,83.0524,4.0332904,0.157,0.988,0.29305574,43.327892,0.947,52850.5691792533,1.2,624.0,0.967,11.653
SWE,2018,7.3433,87.431,0.8295296,12.6869,85.0,90.117,82.5326,4.2189527,0.157,0.988,0.2997419,44.25993,0.942,52349.2924275599,1.2,624.0,0.967,11.709058
SWE,2017,7.3145,87.146,0.8137726,12.4964,84.0,90.117,82.4382,3.7798393,0.157,0.987,0.28774604,44.509754,0.941,51947.9542478244,1.0,624.0,0.97,11.67
SWE,2016,7.284,86.852,0.8573039,12.151,88.0,90.117,82.3391,4.110294,0.157,0.988,0.29562175,44.49973,0.939,51334.4320301641,1.0,624.0,0.972,11.653
SWE,2015,7.291,86.553,0.9191235,13.0223,89.0,90.117,82.1834,4.612466,0.157,0.989,0.29210192,43.02177,0.937,50928.962975552,0.8,624.0,0.974,11.653
SWE,2014,7.364,86.247,1.0345597,12.284,87.0,89.48621,82.2233,4.8815,0.157,0.991,0.28389722,42.589386,0.935,49258.9961639539,1.129,624.0,0.977,11.653
