entity,food_insec,precipitation,indiv_free,happiness,gini,hdi,gdp_pc,corruption,air_deaths,life_expectancy,temperature,urbanization,hri,suicides,taxes,schooling
Botswana,69.446,8.97716,22.059,61.0,65.4224,22.618332,0.911,,,0.716,14961.8311652622,23.1,416.0,0.874,5.074523,3.4884
Brazil,86.569,4.3140564,6.51,35.0,75.1095,25.092684,0.784,0.53870946,32.63798,0.764,14619.5911298271,1.6,1761.0,0.775,7.774814,6.2998
Bulgaria,75.008,8.572876,6.6,42.0,74.8983,12.050331,0.851,0.412841,29.455845,0.809,22195.8671431114,1.9,608.0,0.852,9.80042,5.011
Burkina Faso,29.358,15.281672,14.6829,41.0,60.0466,28.961794,0.785,0.43016732,14.96213,0.449,2051.21843060824,12.6,748.0,0.82,4.3516855,4.5868
Burundi,13.032,15.902263,12.313,17.0,61.6884,20.712639,0.099,,,0.428,740.448222531284,,1274.0,0.143,5.3796825,3.7753
Cambodia,23.388,16.688183,5.59,20.0,70.5609,27.748543,0.303,,17.052092,0.591,4217.62179099337,13.6,1904.0,0.357,6.8543167,4.6998
Cameroon,56.374,12.648219,15.9267,25.0,61.1798,24.870829,0.486,,13.367315,0.577,3732.50124762252,28.1,1604.0,0.545,5.2889247,5.0437
Canada,81.411,1.5479773,10.4952,81.0,82.0508,-4.2081094,0.969,0.3250927,33.438145,0.933,48946.247335636,0.7,537.0,0.939,11.784588,7.2781
Central African Republic,41.364,13.576351,23.6493,26.0,54.3693,26.22663,0.314,,8.075897,0.405,854.647491304949,,1343.0,0.513,,3.083
Chad,23.059,16.05144,13.5656,19.0,52.8253,27.87371,0.24,0.37499154,7.8748198,0.398,1563.5439331455,,322.0,0.365,2.872748,4.3495
Chile,87.564,5.313629,7.96,67.0,80.1334,9.208156,0.936,,19.869963,0.856,25071.99013215,3.6,1522.0,0.922,9.688812,6.444
China,59.152,16.986086,6.81,39.0,77.7444,7.42501,0.269,0.38497642,24.80751,0.755,15133.9956182376,,645.0,0.229,9.171392,5.1909
Colombia,80.778,6.3607917,3.87,36.0,76.7479,24.106009,0.716,0.50418705,19.75562,0.763,14426.4303301896,,3240.0,0.754,8.520751,6.1248
Comoros,28.965,13.386371,8.48,27.0,63.9117,25.135107,0.55,,8.2891,0.557,3294.83197206575,,900.0,0.625,5.0643597,3.9728
Congo,66.916,11.317211,11.63,19.0,64.0531,25.082312,0.233,,7.459791,0.578,,51.1,1646.0,0.273,5.2851167,4.8115
Costa Rica,79.34,4.402268,6.79,56.0,79.4835,23.072393,0.949,0.47972405,13.388666,0.811,20503.2757213464,2.4,2926.0,0.915,8.500433,7.1674
Cote d'Ivoire,50.779,14.097552,15.929,35.0,58.8494,26.50712,0.768,0.37168875,11.9436035,0.542,4941.79381103946,9.2,1348.0,0.777,4.55083,4.9438
Croatia,56.947,6.229925,11.0976,48.0,78.337,13.029072,0.913,0.29729474,37.39304,0.856,28287.9728091814,0.9,1113.0,0.888,10.809689,5.4318
Cyprus,66.81,4.906637,3.64,59.0,81.382,21.032106,0.949,0.3273986,,0.892,39977.0390625,,498.0,0.91,10.91709,6.0458
Czechia,73.792,5.6283236,10.8278,59.0,79.0039,9.870078,0.96,0.24990341,35.010693,0.894,39941.272491387,0.5,677.0,0.943,11.33578,6.8521
Democratic Republic of Congo,44.46,15.582607,12.394,20.0,59.9417,24.454153,0.284,,7.0440736,0.48,,,1543.0,0.417,4.5322757,4.4181
Denmark,87.874,2.7315702,8.18,88.0,80.99,9.680981,0.99,0.28166336,45.407043,0.942,56178.7746299825,1.1,703.0,0.963,11.37422,7.6001
Dominican Republic,81.074,6.844923,5.49,30.0,73.2323,24.411734,0.752,0.4368666,13.055241,0.764,17484.1217559257,22.4,1410.0,0.859,6.6819587,5.4253
Ecuador,63.821,5.166172,8.12,34.0,77.0938,20.924253,0.876,0.45440298,14.973984,0.762,11608.4190498367,9.9,2274.0,0.912,8.754255,6.0276
Egypt,42.704,15.536187,3.37,35.0,71.3669,24.097076,0.229,,,0.729,,7.4,18.1,0.179,6.504568,4.1655
El Salvador,72.023,6.583255,6.07,35.0,72.5546,26.5446,0.628,0.38610572,18.128819,0.68,8812.9247941056,14.6,1784.0,0.786,7.6339335,6.2531
Estonia,68.88,1.2081594,11.5565,73.0,78.1395,7.0349727,0.974,0.30321452,33.15343,0.891,34979.8670494407,0.9,626.0,0.957,11.6930065,5.8935
Eswatini,23.799,8.818927,40.1303,38.0,59.4114,19.801647,0.375,,24.217295,0.607,8343.92296083981,,788.0,0.337,4.5254297,4.2116
Ethiopia,20.763,15.067099,9.54,34.0,65.4117,23.413956,0.577,,,0.489,2067.45649659251,14.1,848.0,0.489,4.4886994,4.2858
Finland,85.382,0.6559258,14.4052,85.0,81.6266,3.576641,0.988,0.27329773,42.50242,0.936,48048.5246160501,2.0,536.0,0.966,12.047586,7.7689
France,80.444,2.4279065,10.0491,72.0,82.5909,14.222917,0.967,0.32380688,48.006268,0.901,45245.9608684875,0.7,867.0,0.949,11.17285,6.5921
Gabon,89.37,8.24737,13.5608,31.0,66.3064,25.033968,0.882,,,0.706,14254.4616972272,,1831.0,0.85,6.024927,4.7992
Gambia,61.27,16.444458,9.62,37.0,63.04,27.633589,0.857,,10.117346,0.495,,24.6,836.0,0.848,5.003186,4.5163
Georgia,58.632,9.660679,7.85,58.0,73.3414,9.816138,0.896,0.36411363,23.420256,0.804,14253.4089858441,7.3,1026.0,0.909,9.153195,4.5191
Germany,77.312,3.043158,8.46,80.0,81.1717,10.607091,0.991,0.3179069,39.814674,0.945,53431.3928655449,0.7,700.0,0.961,11.264978,6.985
Ghana,56.06,13.276691,10.7872,41.0,64.122,27.684763,0.893,,12.830559,0.62,5125.24948962186,6.2,1187.0,0.912,5.826932,4.9963
Greece,79.058,4.899358,3.65,45.0,81.3907,15.7956705,0.939,0.32891205,42.709877,0.886,29141.1743829385,2.3,652.0,0.92,10.073087,5.2867
Guatemala,51.054,10.501586,6.31,27.0,72.7257,23.208231,0.579,,11.365301,0.64,8469.11528803522,18.1,1996.0,0.731,6.2009287,6.4362
Guinea,36.14,16.108694,12.2412,28.0,59.3491,26.186491,0.434,0.29591954,12.742509,0.462,2471.71900224002,49.7,1651.0,0.554,4.6119046,4.5344
Haiti,55.278,15.946822,11.3724,20.0,64.0188,25.286062,0.438,,7.375515,0.541,3209.42962946008,,1440.0,0.683,6.1498604,3.5969
Honduras,57.096,11.595073,2.6,29.0,72.8141,23.57685,0.649,0.48937786,22.207254,0.617,5561.26253321236,14.0,1976.0,0.793,6.133804,5.8604
Hong Kong,100.0,,,76.0,85.2456,23.314796,0.928,,13.807434,0.949,,,,0.831,12.043218,5.4304
Hungary,71.351,6.6532555,12.5781,46.0,76.2039,12.459336,0.906,0.29612043,36.844635,0.849,31117.2834136694,0.8,589.0,0.842,10.6924305,5.7583
Iceland,93.813,0.9133323,10.118,76.0,82.7703,2.1566577,0.98,,36.456608,0.959,56816.5563287223,1.5,1940.0,0.963,10.705074,7.4936
India,34.03,18.124367,12.8753,41.0,70.7095,24.487158,0.676,0.34584644,17.02165,0.645,6436.15340203879,,1083.0,0.628,6.9247475,4.0152
Indonesia,55.325,10.419385,2.56,38.0,70.3375,25.438095,0.77,0.38410378,10.249326,0.71,11397.4314013759,0.8,2702.0,0.767,7.93458,5.1924
Iran,74.898,11.039798,5.49,28.0,76.195,19.461063,0.42,0.420033,,0.787,,8.4,228.0,0.291,8.192462,4.548
Iraq,70.473,15.034159,4.88,18.0,71.5143,24.037582,0.362,,,0.692,9995.04951307618,,216.0,0.462,4.004375,4.4372
Ireland,63.17,1.6231756,9.17,73.0,82.0863,9.996639,0.97,0.30602926,23.142036,0.937,83746.1464524614,3.5,1118.0,0.946,11.959568,7.0211
Israel,92.418,5.1405125,5.26,61.0,82.8232,21.548546,0.896,0.38577175,31.228624,0.919,40270.4240199333,1.7,435.0,0.823,11.087428,7.1387
Italy,70.438,4.241105,4.42,52.0,83.1847,13.814824,0.95,0.35222572,42.00136,0.893,42045.9214694407,1.1,832.0,0.932,10.890854,6.2234
Jamaica,55.674,6.1040525,2.21,44.0,71.793,26.15605,0.869,,26.266985,0.716,10160.7632702319,23.0,2051.0,0.9,7.1720037,5.8898
